100,"['Qibeth', 'Gangplank', 100]","['Soysauce135', 'Sejuani', 100]","['Stayfin', 'Velkoz', 100]","['Ethacheese', 'Jinx', 100]","['bartholomowo', 'Janna', 100]","['yung rave', 'Yasuo', 200]","['JohnDyr2', 'Talon', 200]","['Zammy777', 'Zoe', 200]","['Flynn15', 'Heimerdinger', 200]","['lına', 'Yuumi', 200]"
100,"['Saint Tutelar ', 'Gangplank', 100]","['FossilRN', 'Nocturne', 100]","['Smite Shaco', 'Veigar', 100]","['NobleKarma', 'Lucian', 100]","['Erzaa', 'Nami', 100]","['I Do Be Helping', 'Garen', 200]","['heroofhatz', 'Shyvana', 200]","['WestCoastMorty', 'Tristana', 200]","['Ah0u', 'Jhin', 200]","['Letos Peace', 'Zyra', 200]"
200,"['OrionC4', 'Yone', 100]","['Manzo the Saw', 'Nunu', 100]","['bludotexe', 'TwistedFate', 100]","['LooseJambaJuice', 'Vayne', 100]","['NoMoreNickels', 'Rakan', 100]","['jiraso', 'Fiora', 200]","['Ernayyouknow1', 'MasterYi', 200]","['InstinctiiveTTV', 'Yasuo', 200]","['YoungDrèw', 'MissFortune', 200]","['MightGuy112', 'Zyra', 200]"
200,"['Kuckle Almighty', 'Swain', 100]","['bck2bck', 'Zeri', 100]","['HarrySeinfeld', 'Tristana', 100]","['SSS Flanc', 'FiddleSticks', 100]","['Domaki', 'Bard', 100]","['Ubuntu16', 'Sett', 200]","['vxahtllip', 'Nocturne', 200]","['ahriCahri', 'Fizz', 200]","['Sciøn', 'Kaisa', 200]","['FCR Sable', 'Senna', 200]"
100,"['Elite Duck', 'Garen', 100]","['Prognite', 'LeeSin', 100]","['TheRightHook', 'Anivia', 100]","['Hungrydude8', 'Tristana', 100]","['kirinkalyb', 'Veigar', 100]","['Pontree', 'Renekton', 200]","['MSTN3gates', 'Nunu', 200]","['ebubba', 'Syndra', 200]","['friedeisqua', 'Ezreal', 200]","['ScottyP1mpIN99', 'Thresh', 200]"
100,"['5trawHatFluFFY', 'MonkeyKing', 100]","['Kènzo', 'Nocturne', 100]","['SheZedSheWas12', 'Yasuo', 100]","['FoulBeast ', 'Ziggs', 100]","['Piggieback', 'MissFortune', 100]","['pkmonxd', 'Fiora', 200]","['vxahtllip', 'Hecarim', 200]","['bulviyen', 'Lux', 200]","['hzekthu', 'Ashe', 200]","['NP102', 'Lissandra', 200]"
100,"['Saisho', 'Sion', 100]","['DanthemanX222', 'Shyvana', 100]","['Aaatroxity', 'Annie', 100]","['TilleyLikesBums', 'Vayne', 100]","['KozmicAbby', 'Morgana', 100]","['Jageradss', 'Shen', 200]","['NightTrain69', 'Shaco', 200]","['SettsBreadstick', 'Vex', 200]","['EzrealsSauce', 'Zeri', 200]","['KaynsNoodle', 'Senna', 200]"
100,"['Gútš', 'Gangplank', 100]","['sensue', 'Garen', 100]","['AxelOw0', 'Lux', 100]","['Agileprowl', 'Seraphine', 100]","['wıƒe', 'Ashe', 100]","['King Chino', 'Sion', 200]","['TheTwilightRose', 'Talon', 200]","['veuilo', 'Zoe', 200]","['Goodfellas1420', 'Varus', 200]","['SomeAfroMagic', 'Thresh', 200]"
100,"['mketchup', 'Gwen', 100]","['MackMilla', 'Sejuani', 100]","['HamOfPwnage', 'Sett', 100]","['Riftkiller', 'Zeri', 100]","['Loki1877', 'Leona', 100]","['SirSmash', 'Aatrox', 200]","['PhasedEkko', 'Ekko', 200]","['Cutely', 'Zoe', 200]","['Ástró', 'Jinx', 200]","['Yuri Unknown', 'Shyvana', 200]"
100,"['Quizlet love', 'Camille', 100]","['GrizzlyFungus69', 'Amumu', 100]","['Disserna', 'TwistedFate', 100]","['Little Red RDHD', 'Jinx', 100]","['Mahrduk', 'Zilean', 100]","['HOGRIDER BOBO 99', 'Jax', 200]","['dawesome81', 'Sion', 200]","['grrpow', 'Zed', 200]","['krmadhorsejr', 'Kaisa', 200]","['Techkiller822', 'Lux', 200]"
